name,ml_team,score_now,score_rebuild,predicted_remaining,remain_war
A.J. Puk,OAK,0.9049868205611609,0.9049868205611609,0,3.7
Aaron Ashby,MIL,-0.5215763736821976,-0.5215763736821976,0,2.3
Adam Kloffenstein,TOR,-0.5215763736821976,-0.5215763736821976,0,2.3
Adbert Alzolay,CHC,-0.5215763736821976,-0.5215763736821976,0,2.3
Adonis Medina,PHI,-0.5215763736821976,-0.5215763736821976,0,2.3
Adrian Morejon,SD,-0.5215763736821976,-0.5215763736821976,0,2.3
Albert Abreu,NYY,-0.5215763736821976,-0.5215763736821976,0,2.3
Alek Manoah,TOR,-0.5215763736821976,-0.5215763736821976,0,2.3
Alex Faedo,DET,-0.5215763736821976,-0.5215763736821976,0,2.3
Anthony Kay,TOR,-0.5215763736821976,-0.5215763736821976,0,2.3
Beau Burrows,DET,-0.5215763736821976,-0.5215763736821976,0,2.3
Blake Walston,ARI,-0.5215763736821976,-0.5215763736821976,0,2.3
Blayne Enlow,MIN,-0.5215763736821976,-0.5215763736821976,0,2.3
Brady Singer,KC,0.9049868205611609,0.9049868205611609,0,3.7
Brailyn Marquez,CHC,-0.5215763736821976,-0.5215763736821976,0,2.3
Braxton Garrett,MIA,-0.5215763736821976,-0.5215763736821976,0,2.3
Brennan Malone,ARI,-0.5215763736821976,-0.5215763736821976,0,2.3
Brent Honeywell,TB,0.9049868205611609,0.9049868205611609,0,3.7
Brock Burke,TEX,-0.5215763736821976,-0.5215763736821976,0,2.3
Brusdar Graterol,MIN,0.9049868205611609,0.9049868205611609,0,3.7
Bryan Mata,BOS,-0.5215763736821976,-0.5215763736821976,0,2.3
Bryse Wilson,ATL,-0.5215763736821976,-0.5215763736821976,0,2.3
Casey Mize,DET,4.369497435152172,4.369497435152172,0,7.1
Clarke Schmidt,NYY,-0.5215763736821976,-0.5215763736821976,0,2.3
Cole Winn,TEX,-0.5215763736821976,-0.5215763736821976,0,2.3
Corbin Martin,ARI,-0.5215763736821976,-0.5215763736821976,0,2.3
Dane Dunning,CWS,-0.5215763736821976,-0.5215763736821976,0,2.3
Daniel Espino,CLE,-0.5215763736821976,-0.5215763736821976,0,2.3
Daniel Lynch,KC,0.9049868205611609,0.9049868205611609,0,3.7
David Peterson,NYM,-0.5215763736821976,-0.5215763736821976,0,2.3
Dean Kremer,BAL,-0.5215763736821976,-0.5215763736821976,0,2.3
Deivi Garcia,NYY,0.9049868205611609,0.9049868205611609,0,3.7
Dennis Santana,LA,-0.5215763736821976,-0.5215763736821976,0,2.3
DL Hall,BAL,0.9049868205611609,0.9049868205611609,0,3.7
Drey Jameson,ARI,-0.5215763736821976,-0.5215763736821976,0,2.3
Dustin May,LA,0.9049868205611609,0.9049868205611609,0,3.7
Edward Cabrera,MIA,0.9049868205611609,0.9049868205611609,0,3.7
Enyel De Los Santos,PHI,-0.5215763736821976,-0.5215763736821976,0,2.3
Eric Pardinho,TOR,-0.5215763736821976,-0.5215763736821976,0,2.3
Ethan Hankins,CLE,-0.5215763736821976,-0.5215763736821976,0,2.3
Ethan Small,MIL,-0.5215763736821976,-0.5215763736821976,0,2.3
Forrest Whitley,HOU,3.9619079510826416,3.9619079510826416,0,6.7
Francisco Morales,PHI,-0.5215763736821976,-0.5215763736821976,0,2.3
Franklin Perez,DET,-0.5215763736821976,-0.5215763736821976,0,2.3
Franklyn Kilome,NYM,-0.5215763736821976,-0.5215763736821976,0,2.3
Grayson Rodriguez,BAL,0.9049868205611609,0.9049868205611609,0,3.7
Hans Crouse,TEX,0.9049868205611609,0.9049868205611609,0,3.7
Huascar Ynoa,ATL,-0.5215763736821976,-0.5215763736821976,0,2.3
Hunter Greene,CIN,0.9049868205611609,0.9049868205611609,0,3.7
Ian Anderson,ATL,0.9049868205611609,0.9049868205611609,0,3.7
J.B. Bukauskas,ARI,-0.5215763736821976,-0.5215763736821976,0,2.3
Jackson Kowar,KC,-0.5215763736821976,-0.5215763736821976,0,2.3
Jackson Rutledge,WAS,-0.5215763736821976,-0.5215763736821976,0,2.3
Jay Groome,BOS,-0.5215763736821976,-0.5215763736821976,0,2.3
Jesus Luzardo,OAK,0.9049868205611609,0.9049868205611609,0,3.7
Jhoan Duran,MIN,-0.5215763736821976,-0.5215763736821976,0,2.3
JJ Goss,TB,-0.5215763736821976,-0.5215763736821976,0,2.3
Joe Palumbo,TEX,-0.5215763736821976,-0.5215763736821976,0,2.3
Joey Wentz,DET,-0.5215763736821976,-0.5215763736821976,0,2.3
Jon Duplantier,ARI,-0.5215763736821976,-0.5215763736821976,0,2.3
Jonathan Hernandez,TEX,-0.5215763736821976,-0.5215763736821976,0,2.3
Jonathan Stiever,CWS,-0.5215763736821976,-0.5215763736821976,0,2.3
Jordan Balazovic,MIN,0.9049868205611609,0.9049868205611609,0,3.7
Josh Wolf,NYM,-0.5215763736821976,-0.5215763736821976,0,2.3
Josiah Gray,LA,0.9049868205611609,0.9049868205611609,0,3.7
Justin Dunn,SEA,0.9049868205611609,0.9049868205611609,0,3.7
Keegan Akin,BAL,-0.5215763736821976,-0.5215763736821976,0,2.3
Kendall Williams,TOR,-0.5215763736821976,-0.5215763736821976,0,2.3
Kevin Smith,NYM,-0.5215763736821976,-0.5215763736821976,0,2.3
Kris Bubic,KC,-0.5215763736821976,-0.5215763736821976,0,2.3
Kyle Muller,ATL,-0.5215763736821976,-0.5215763736821976,0,2.3
Kyle Wright,ATL,0.9049868205611609,0.9049868205611609,0,3.7
Levi Kelly,ARI,-0.5215763736821976,-0.5215763736821976,0,2.3
Lewis Thorpe,MIN,-0.5215763736821976,-0.5215763736821976,0,2.3
Logan Allen,CLE,-0.5215763736821976,-0.5215763736821976,0,2.3
Logan Gilbert,SEA,0.9049868205611609,0.9049868205611609,0,3.7
Logan Webb,SF,-0.5215763736821976,-0.5215763736821976,0,2.3
Luis Frias,ARI,-0.5215763736821976,-0.5215763736821976,0,2.3
Luis Gil,NYY,-0.5215763736821976,-0.5215763736821976,0,2.3
Luis Patino,SD,0.9049868205611609,0.9049868205611609,0,3.7
MacKenzie Gore,SD,4.369497435152172,4.369497435152172,0,7.1
Mason Denaburg,WAS,-0.5215763736821976,-0.5215763736821976,0,2.3
Matt Manning,DET,0.9049868205611609,0.9049868205611609,0,3.7
Matt Tabor,ARI,-0.5215763736821976,-0.5215763736821976,0,2.3
Matthew Allan,NYM,-0.5215763736821976,-0.5215763736821976,0,2.3
Matthew Liberatore,TB,0.9049868205611609,0.9049868205611609,0,3.7
Michael Baumann,BAL,-0.5215763736821976,-0.5215763736821976,0,2.3
Michael Kopech,CWS,0.9049868205611609,0.9049868205611609,0,3.7
Michel Baez,SD,-0.5215763736821976,-0.5215763736821976,0,2.3
Mitch Keller,PIT,0.9049868205611609,0.9049868205611609,0,3.7
Mitchell White,LA,-0.5215763736821976,-0.5215763736821976,0,2.3
Nate Pearson,TOR,3.9619079510826416,3.9619079510826416,0,6.7
Nick Neidert,MIA,-0.5215763736821976,-0.5215763736821976,0,2.3
