id,age,years_remain,remain_war,name
12979,26,3,10.67200233992017,Javier Baez
12981,26,6,10.94723476582201,Cam Gallagher
12983,26,5,3.5557638055287164,Charles Tilson
12983,26,5,3.5557638055287164,Charlie Tilson
12984,29,2,4.546417701767621,Jackie Bradley Jr.
13006,26,6,4.633523324736198,Mitch Walding
13066,26,5,7.425308277699654,Teoscar Hernandez
13145,26,4,10.080258164035095,Josh Bell
13152,25,4,9.145919734588322,Jorge Polanco
13157,26,6,9.42102437914599,Nicky Delmonico
13176,27,4,7.256375020100217,Blake Swihart
13185,24,4,7.241306572605946,Orlando Arcia
13265,28,2,5.6084015627258506,Mike Zunino
13277,28,4,7.780063236638429,Joey Rickard
13300,28,6,0.7415466920712573,Spencer Kieboom
13301,28,4,10.477278025138917,Max Muncy
13324,27,6,4.878826146845946,Ildemaro Vargas
13329,28,2,4.879651838074306,Jake Lamb
13338,27,4,5.365683483837502,Omar Narvaez
13355,28,4,4.88469654444841,Luke Maile
13356,26,6,14.458801966450995,Bubba Starling
13359,28,4,5.915519055952681,Tyler Naquin
13367,28,3,5.6551610642316605,Stephen Piscotty
13369,27,4,2.6318849342959822,Erik Gonzalez
13419,28,6,14.719046089075931,Christian Walker
13473,26,6,11.523256389497579,Dwight Smith Jr
13473,26,6,11.523256389497579,Dwight Smith Jr.
13499,28,5,6.262691619700754,Tom Murphy
13510,26,2,15.197368285320124,Jose  Ramirez
13510,26,2,15.197368285320124,Jose Ramirez
13546,26,6,9.930674040877655,Roman Quinn
13590,25,5,7.945795949461649,Jesse Winker
13593,25,4,13.128158454000554,Jose Peraza
13595,25,6,1.3510472734290775,Humberto Arteaga
13608,26,4,8.268592074480045,Mallex Smith
13611,26,2,16.565865698504265,Mookie Betts
13613,25,4,9.73853241147598,Ketel Marte
13620,24,6,12.630114280942795,Carson Kelly
13621,25,5,12.18873413910192,Jeimer Candelario
13624,25,3,13.15911834574046,Corey Seager
13658,28,6,1.010378485147256,Terrance Gore
13675,25,6,21.146364551087714,Tyrone Taylor
13723,29,6,1.2987226521152393,Jacob Stallings
13744,25,5,8.633432648912645,David Dahl
13755,25,6,5.9927090590398295,Tomas Nido
13757,28,3,8.789661628420443,Chris Taylor
13768,28,6,4.760726374555917,Travis Jankowski
13769,23,5,12.240488676934378,Adalberto Mondesi
13795,27,6,4.654828296337394,Eric Stamets
13807,28,4,3.5948681963307396,Kevin Plawecki
13836,28,2,11.17841968694326,Matt Duffy
13853,29,5,12.930874802525311,Joey Wendle
13854,29,6,13.159352843474473,Anthony Bemboom
13891,29,6,6.719391310259019,Mike Miller
14103,25,6,8.824253409969133,Rio Ruiz
14106,25,3,9.014487740270281,Addison Russell
14109,25,4,5.679923993268439,Albert Almora Jr.
14111,26,6,11.77239984230681,Eric Haase
14128,25,4,14.229499783513964,Joey Gallo
14130,26,6,18.681014701165218,Daniel Vogelbach
14137,25,6,7.6623199995270985,Tim Lopes
14140,25,6,14.954486882840222,Jose Rondon
14145,25,5,12.533994954753178,Daniel Robertson
14158,28,5,7.552544406278305,Mac Williamson
14161,25,4,10.275472061890127,Byron Buxton
14162,24,3,13.319205435599118,Carlos Correa
14196,24,6,8.485241182550535,Andrew Velazquez
14221,27,3,3.6388458276161235,Jorge Soler
